ambiguous,unambiguous
保护的是弱者。,保护弱者的是有同情心和正义感的人。
伤害的是敌人。,被责备的是他。
关心的是朋友。,被关心的是家人。
爱的是家人。,被关心的是家人。
帮助的是那个老人。,需要关注的是老人。
支持的是大多数人。,支持的是观点。
反对的是多数人。,支持的是观点。
支持的是家人。,被关心的是家人。
怀疑的是对手。,怀疑的是他的动机。
信任的是伙伴。,坚持的是信念
帮助的是陌生人。,帮助的是需要的人。
安慰的是朋友。,帮助的是需要的人。
指责的是老师。,接受批评的是学生。
批评的是学生。,接受批评的是学生。
讨厌的是敌人。,讨厌的是那种行为。
信任的是朋友。,相信的是科学证据。
怀疑的是记者。,被怀疑的是我。
批评的是专家。,接受批评的是他。
攻击的是一群狼。,保护的是野生动物。
支持的是我们。,支持的是环保理念。
爱护的是宠物。,保护的是野生动物。
关心的是家人。,被关心的是家人。
帮助的是朋友。,帮助的是需要的人。
攻击的是敌人。,面对恐惧的是英雄。
喜爱的是孩子。,需要帮助的是孩子。
反对的是少数人。,支持的是观点。
支持的群体是多数人。,支持这个计划的是大多数员工。
拒绝的是少数几位反对者。,拒绝的是不合理的要求。
讨厌的是少数几位敌人。,讨厌的是那种行为。
喜爱的是多数人。,尊重的是多样性。
信任的是少数几位朋友。,相信的是科学证据。
害怕的是多数人。,害怕的是自然灾害。
怀疑的是多数人。,怀疑的是他的动机。
理解的是少数几位专家。,了解的是人类行为。
支持的通常是大多数人。,支持这个计划的是大多数员工。
攻击的是敌军。,面对恐惧的是英雄。
支持的是年轻人。,喜欢运动的是年轻人。
关心的是孩子。,关心的是孩子的未来。
喜爱的是这个明星。,热爱的是艺术。
批评的是几位专家。,接受批评的是学生。
喜欢的是小猫。,寻找的是丢失的猫。
支持的多数人。,支持的是观点。
恨的是一个叛徒。,被恨的是他。
爱的是一位诗人。,被爱的人是你。
嘲笑的是一个小丑。,接受批评的是他。
支持的是一位候选人。,支持的是观点。
攻击的是一只狗。,寻找的是丢失的猫。
担心的是那位老人。,担心的是安全问题
帮助的是一群孩子。,接受帮助的是孩子们。
讨论的是几个专家。,研究的是科学家。
尊敬的是几位前辈。,被赞扬的是他们。
羡慕的是那些成功人士。,羡慕的是这对恋人的幸福。
讨厌的是一部分同事。,讨厌的是那种行为。
喜爱的是众多粉丝。,热爱的是自由。
支持的是大多数选民。,支持这个计划的是大多数员工。
恨的是对手。,被恨的是他。
理解的是同事。,理解困难的是我们。
喜欢的是孩子。,需要帮助的是孩子。
批评的是老师。,接受批评的是学生。
支持的是多数人。,支持的是观点。
领导的是一位有远见的企业家。,发动的是一场革命。
恨的是敌人。,被恨的是他。
爱的是亲人。,被爱的人是你。
责备的是不负责任的人。,被责备的是他。
赞扬的是有才华的人。,被赞扬的是他们。
批评的是专业人士。,批评的是行为
欣赏的是艺术爱好者。,被欣赏的是艺术。
反对的是少数派。,支持的是观点。
表扬的是研发部。,被赞扬的是他们。
误解的是新政策。,遭受批评的是新政策。
追随的是领袖。,引领潮流的是那些不断创新和突破的人。
怀疑的是敌人。,怀疑的是他的动机。
批评的是少数派。,支持的是观点。
启发的是创新思维。,引领潮流的是那些不断创新和突破的人。
挑战的是极限运动爱好者。,挑战的是极限。
鼓励的是年轻一代。,被赞扬的是他们。
质疑的是几位专家。,质疑的是传统观念。
质疑的是权威。,质疑的是传统观念。
爱护的是孩子。,需要帮助的是孩子。
挑战的是勇士。,挑战的是勇气。
需要的是医生。,被需要的正是你。
尊重的是长辈。,尊重的是多样性。
理解的是父母。,被关心的是家人。
支持的是球迷。,支持的是观点。
怀疑的是侦探。,怀疑的是他的动机。
教育的是学生。,传播知识的是老师。
迷惑的是对手。,怀疑的是他的动机。
吸引的是观众。,吸引的是游客的目光。
支持的是你。,支持的是观点。
理解的是我。,被理解的是你。
帮助的是他们。,帮助的是需要的人。
保护的是我们。,保护的是家园。
赞扬的是她。,被赞扬的是他们。
挑战的是他。,接受的是挑战。
恨的是那个男孩。,被恨的是他。
爱的是这个女孩。,被推荐的是她。
感谢的是我的父母。,感动的是心灵深处。
批评的是一位老师。,接受批评的是学生。
嘲笑的是几个朋友。,接受批评的是学生。
理解的是人性。,理解的是人性的复杂。
反对的是政府。,反对的是决策。
爱的是伴侣。,被爱的人是你。
依赖的是家人。,被关心的是家人。
怀疑的是陌生人。,怀疑的是他的动机。
理解的是孩子。,需要帮助的是孩子。
指责的是家长。,接受批评的是学生。
赞扬的是学生。,被赞扬的是他们。
安慰的是一位朋友。,接受帮助的是我。
启发的是一位艺术家。,欣赏的是这位艺术家的作品。
挑战的是一位运动员。,接受的是挑战。
追随的是一群年轻人。,喜欢运动的是年轻人。
帮助的是一位老人。,需要关注的是老人。
怀疑的是一些投资者。,怀疑的是他的动机。
指责的是一名记者。,被指责的是经理。
崇拜的是众多粉丝。,被崇拜的是英雄。
困扰的是一群学生。,困扰的是这个难题。
敬佩的是少数人。,被赞扬的是他们。
尊重的是一些人。,尊重的是多样性。
喜欢的是很多人。,喜欢的是自由。
讨厌的是少数人。,讨厌的是那种行为。
害怕的是一些人。,害怕的是自然灾害。
依赖的是少数人。,需要的是帮助。
信任的是一些人。,拥有的是信念。
支持的的是很多人。,支持的是观点。
理解的是大多数人。,理解的是人性的复杂。
接受的是多数人。,尊重的是多样性。
保护的是父母。,保护的是家园。
喜爱的是宠物。,寻找的是丢失的猫。
跟随的是领袖。,服从的是命令。
相信的是上帝。,拥有的是信念。
理解的是老师。,传播知识的是老师。
拯救的是一条生命。,拯救的是无数生命。
反对的是一群抗议者。,支持的是观点。
支持的是一个团队。,支持的是环保理念。
保护的是一位老人。,需要关注的是老人。
伤害的是一只鸟。,破坏的是生态环境。
帮助的是一个孩子。,接受帮助的是孩子们。
躲避的是一头野猪。,逃避的是现实。
追捕的是一群猎犬。,寻找的是丢失的猫。
攻击的是一只老虎。,寻找的是丢失的猫。
忽视的是少数人。,忽略的是细节。
尊重的是大多数人。,尊重的是多样性。
怀疑的是少数人。,怀疑的是他的动机。
信任的是多数人。,相信的是科学证据。
拒绝的是少数人。,拒绝的是不合理的要求。
接受的是大多数人。,尊重的是多样性。
不喜欢的是少数孩子。,讨厌的是那种行为。
喜欢的是大多数孩子。,热爱的是自由。
反对的是错误。,支持的是观点。
支持的是正义。,维护的是社会正义。
影响的是决策者。,影响的是经济。
威胁的是安全。,担心的是安全问题
伤害的是无辜者。,被责备的是他。
造成困扰的是他们。,困扰的是这个难题。
帮助的是弱者。,帮助的是需要的人。
忽视的是陌生人。,忽略的是细节。
原谅的是敌人。,原谅的是自己。
指责的是朋友。,被指责的是经理。
怀疑的是专家意见。,怀疑的是他的动机。
赞美的是艺术。,被欣赏的是艺术。
激励的是年轻一代。,被赞扬的是他们。
困扰的是政策制定者。,困扰的是这个难题。
吸引的是国际投资者。,吸引的是大量投资。
追随的是现代潮流。,拥抱变化的是时代。
支持的是创新型企业。,支持的是可持续发展。
保护的是濒危物种。,保护的是野生动物。
挑战的是经验丰富的选手。,面临的是巨大挑战。
启发的是未来的领袖。,改变世界的是那些有远见和勇气的人。
教育的是有潜力的学生。,关心的是孩子的未来。
安慰的是哭泣的孩子。,需要帮助的是孩子。
鼓励的是年轻的运动员。,被赞扬的是他们。
指责的是相关部门。,被指责的是经理。
伤害的是无辜的儿童。,需要帮助的是孩子。
帮助的是许多志愿者。,帮助的是需要的人。
批评的是几位老师。,接受批评的是学生。
质疑的是真相。,寻找的是真相。
赞美的是才华。,被赞扬的是他们。
批评的是观点。,批评的是行为
支持的是信念。,坚持的是信念。
崇拜的是英雄。,被崇拜的是英雄。
害怕的是敌人。,害怕的是黑暗。
质疑的是记者。,发话的是发言人。
支持的是政府。,支持的是改革
挑战的是年轻人。,接受的是挑战。
尊敬的是这位慈善家。,被尊敬的是智慧。
反对的是一部分议员。,支持的是观点。
崇拜的是这位音乐家。,被崇拜的是英雄。
支持的是老师。,传播知识的是老师。
攻击的是对手军队。,面对恐惧的是英雄。
尊重的是长者。,需要关注的是老人。
拥护的是人民群众。,维护的是社会正义。
支持的是进步人士。,支持的是环保理念。
热爱的是那些青年。,热爱的是生活。
宠爱的是宠物狗。,寻找的是丢失的猫。
要求的是领导。,被要求的是他。
支持的是粉丝团。,支持的是观点。
倾听的是歌手。,喜爱的是这个歌手的声音。
教导的是老师。,传播知识的是老师。
追赶的是运动员。,获胜的是运动员。
期待的是孩子们。,被期待的是他们。
害怕的是人们。,害怕的是自然灾害。
保护的是勇士。,挑战的是勇气。
爱护的是子女。,关心的是孩子的未来。
领导的是团队。,承受压力的是团队。
指导的是学徒。,研究的是科学家。
支持的是盟友。,支持的是观点。
追求的是梦想家。,追求的是梦想。
拥抱的是亲人。,被关心的是家人。
支持的是主流群体。,支持的是观点。
追随的是领导者。,引领潮流的是那些不断创新和突破的人。
爱戴的是拥护者。,被崇拜的是英雄。
帮助的是广大群众。,帮助的是需要的人。
困扰的是部分人群。,困扰的是这个难题。
怠慢的是个别人士。,忽略的是细节。
尊重的是广大群众。,尊重的是多样性。
吸引的是多数人。,吸引的是游客的目光。
等待的是亲人。,被关心的是家人。
配合的是同事。,被要求的是他。
批评的是领导。,被指责的是经理。
支持的是团队成员。,支持这个计划的是大多数员工。
鼓励的是同学们。,被赞扬的是他们。
照顾的是家人。,被关心的是家人。
追求的是梦想者。,追求的是梦想。
尊敬的是老师。,传播知识的是老师。
热爱的是广大群众。,热爱的是生活。
等待的是朋友。,等待的是结果
重视的是老师。,传播知识的是老师。
关注的是他们。,被期待的是他们。
爱护的是邻里。,保护的是家园。
帮助的是志愿者。,帮助的是需要的人。
争取的是我们。,争取的是胜利果实。
逃避的是敌人。,逃避的是现实。
追求的是青年。,追求的是梦想。
赞赏的是他。,被赞扬的是他们。
保护的是稀有动物。,保护的是野生动物。
适应的是自然环境。,研究的是自然现象。
关注的是民生问题。,关注的是社会问题。
协助的是公司团队。,提供的是全方位服务。
喜欢的是小明。,喜欢的电影类型是喜剧。
尊敬的是长辈。,被崇拜的是英雄。
尊重的是每一个人。,尊重的是多样性。
保护的是大家。,保护的是家园。
重视的是我们团队。,被赞扬的是他们。
爱护的是这些花朵。,保护的是家园。
帮助的是邻居。,帮助的是需要的人。
追赶的是他。,被责备的是他。
期待的是那些学生。,被期待的是他们。
害怕的是孩子们。,害怕黑暗的是小孩子。
欣赏的是他。,被欣赏的是艺术。
帮助的是邻居们。,帮助的是需要的人。
培养的是优秀人才。,培养的是能力
保护的是儿童。,需要帮助的是孩子。
支持的是社区居民。,支持的是观点。
培养的是学生。,关心的是孩子的未来。
爱护的是花草树木。,保护的是一片森林。
照顾的是孩子们。,接受帮助的是孩子们。
打击的是罪犯。,被责备的是他。
珍视的是家人。,被关心的是家人。
追求的目标是企业家。,追求的是梦想。
爱护的是环保主义者。,支持的是环保理念。
追赶的是猎犬。,寻找的是丢失的猫。
照顾的是病患。,被关心的是家人。
敬重的是长者。,需要关注的是老人。
追赶的是逃犯。,逃避的是现实。
等待的是救援队伍。,等待救援的是幸存者。
表扬的是先进个人。,被赞扬的是他们。
等待的是那位顾客。,被期待的是他们。
质疑的是个别学者。,质疑的是传统观念。
鼓励的是整个团队。,被赞扬的是他们。
追赶的是公交车。,讨厌的运动是跑步。
担心的是父母。,担心的是安全问题
喜欢的是小丽。,被推荐的是她。
帮助的是张三。,接受帮助的是我。
照顾的是护士。,研究的是科学家。
追求的是艺术家。,热爱的是艺术。
喜欢的是孩子们。,喜欢的是自由。
拥护的是党派成员。,支持的是观点。
欢呼的是观众。,被赞扬的是他们。
指责的是警察。,被指责的是经理。
爱戴的是人民。,被崇拜的是英雄。
倾听的是民意代表。,发话的是发言人。
陪伴的是伴侣。,被关心的是家人。
等待的是旅者。,享受假期的是旅行者。
打击的是敌人。,被责备的是他。
鼓舞的是士兵们。,被赞扬的是他们。
依赖的是盟友。,相信的是科学证据。
反对的是激进派。,支持的是观点。
追求的是冒险家。,追求梦想的是冒险家。
爱护的是同学们。,保护弱者的是有同情心和正义感的人。
欣赏的是艺术家。,被欣赏的是艺术。
指责的是小王。,被责备的是他。
等待的是老师。,传播知识的是老师。
忽视的是小明。,忽略的是细节。
尊重的是领导。,尊重的是多样性。
认可的是多数人。,尊重的是多样性。
支持的是所有盟友。,支持的是环保理念。
指挥的是乐团指挥家。,热爱音乐的是他。
讨厌的是个别挑衅者。,讨厌的是那种行为。
喜爱的是孩子们。,接受帮助的是孩子们。
支持的是粉丝群体。,支持的是观点。
照顾的是护士们。,被关心的是家人。
陪伴的是朋友之间。,关心的是健康。
服从的是士兵们。,服从的是命令。
帮助的是志愿者们。,帮助的是需要的人。
