type,sent,ambiguity,reason
VP+的是+NP,保护的是弱者。,1,'保护的是弱者'可以理解为弱者在主动执行保护行为，也可以理解为弱者是被保护的对象
VP+的是+NP,伤害的是敌人。,1,'伤害的是敌人'可理解为敌人是伤害行为的施动者(敌人伤害他人)，也可理解为敌人是伤害行为的受动者(他人伤害敌人)
VP+的是+NP,关心的是朋友。,1,VP+的是+NP结构可以理解为朋友正在主动关心他人，也可以理解为被关心的对象是朋友
VP+的是+NP,爱的是家人。,1,'爱的是家人'可以理解为家人主动发出爱的动作（施事），也可以理解为家人是被爱的对象（受事）
VP+的是+NP,帮助的是那个老人。,1,'帮助的是那个老人'可以理解为老人是帮助行为的施事者(帮助别人的人)，也可以理解为老人是帮助行为的受事者(被帮助的人)
VP+的是+NP,支持的是大多数人。,1,'支持的是大多数人'可以理解为大多数人正在主动执行支持行为，也可以理解为被支持的对象是大多数人
VP+的是+NP,反对的是多数人。,1,'反对的是多数人'可以理解为多数人是反对动作的发出者，也可以理解为多数人是被反对的对象
VP+的是+NP,支持的是家人。,1,该句存在'VP+的是+NP'结构歧义，可理解为家人是支持行为的发出者，也可理解为家人是被支持的对象
VP+的是+NP,怀疑的是对手。,1,'怀疑的是对手'可以理解为执行怀疑动作的主体是对手，也可以理解为被怀疑的对象是对手
VP+的是+NP,信任的是伙伴。,1,该句存在VP+的是+NP结构歧义，可理解为执行信任动作的主体是伙伴，或被信任的对象是伙伴
VP+的是+NP,帮助的是陌生人。,1,'帮助的是陌生人'可理解为施事（陌生人在帮助别人）或受事（别人帮助陌生人）两种语义
VP+的是+NP,安慰的是朋友。,1,'安慰的是朋友'可以理解为朋友正在安慰别人，也可以理解为被安慰的对象是朋友
VP+的是+NP,指责的是老师。,1,该句存在施事与受事歧义，'老师'既可能是发出指责动作的主体，也可能是被指责行为的客体
VP+的是+NP,批评的是学生。,1,'批评的是学生'可以表示学生作为批评行为的发出者，也可以表示学生作为被批评行为的承受者
VP+的是+NP,讨厌的是敌人。,1,'讨厌的是敌人'可以理解为敌人在进行讨厌的行为，也可以理解为被讨厌的对象是敌人
VP+的是+NP,信任的是朋友。,1,VP+的是+NP结构可以理解为朋友主动执行信任动作，也可以理解为朋友是被信任的对象
VP+的是+NP,怀疑的是记者。,1,'怀疑的是记者'可以理解为记者作为怀疑动作的发出者（记者在怀疑别人），也可以理解为记者作为被怀疑对象（别人在怀疑记者）
VP+的是+NP,批评的是专家。,1,'批评的是专家'可以理解为专家作为批评行为的发出者，也可以理解为专家作为被批评的承受者
VP+的是+NP,攻击的是一群狼。,1,“攻击的是一群狼”可以表示狼是攻击动作的主动执行者，也可以表示狼是被攻击的对象
VP+的是+NP,支持的是我们。,1,'支持的是我们'可以理解为我们在主动支持他人，也可以理解为我们是被支持的对象
VP+的是+NP,爱护的是宠物。,1,'爱护的是宠物'可以理解为宠物在主动爱护他人，也可以理解为宠物是被爱护的对象
VP+的是+NP,关心的是家人。,1,'关心的是家人'可以理解为家人是关心的发出者（家人在关心他人），也可以理解为家人是被关心的对象（他人在关心家人）
VP+的是+NP,帮助的是朋友。,1,'帮助的是朋友'可以理解为'提供帮助的人是朋友（朋友是帮助行为的发出者）'，也可以理解为'被帮助的对象是朋友（朋友是帮助行为的接受者）'
VP+的是+NP,攻击的是敌人。,1,'攻击的是敌人'可以理解为敌人主动发起攻击，也可以理解为被攻击的对象是敌人
VP+的是+NP,喜爱的是孩子。,1,'喜爱的是孩子'可以理解为孩子作为动作发出者（喜爱他人），也可以理解为孩子作为动作承受者（被他人喜爱）
VP+的是+NP,反对的是少数人。,1,'反对的是少数人'可以理解为少数人作为动作主体进行反对，也可理解为被反对的对象是少数人
VP+的是+NP,支持的群体是多数人。,1,'支持的群体是多数人'可以理解为多数人作为支持行为的发出者（支持他人的群体），也可以理解为多数人作为被支持的对象（被他人支持的群体）
VP+的是+NP,拒绝的是少数几位反对者。,1,'拒绝的是少数几位反对者'可以理解为少数几位反对者主动执行拒绝动作，也可以理解为被拒绝的对象是少数几位反对者
